date,Bullish,Bearish
2022-05-26,62,39
2022-05-27,62,39
2022-05-28,62,39
2022-05-29,56,36
2022-05-30,56,36
2022-05-31,56,36
2022-06-01,56,36
2022-06-02,56,36
2022-06-03,56,36
2022-06-04,56,36
2022-06-05,62,38
2022-06-06,62,38
2022-06-07,62,38
2022-06-08,62,38
2022-06-09,62,38
2022-06-10,62,38
2022-06-11,62,38
2022-06-12,60,41
2022-06-13,60,41
2022-06-14,60,41
2022-06-15,60,41
2022-06-16,60,41
2022-06-17,60,41
2022-06-18,60,41
2022-06-19,56,39
2022-06-20,56,39
2022-06-21,56,39
2022-06-22,56,39
2022-06-23,56,39
2022-06-24,56,39
2022-06-25,56,39
2022-06-26,58,35
2022-06-27,58,35
2022-06-28,58,35
2022-06-29,58,35
2022-06-30,58,35
2022-07-01,58,35
2022-07-02,58,35
2022-07-03,54,34
2022-07-04,54,34
2022-07-05,54,34
2022-07-06,54,34
2022-07-07,54,34
2022-07-08,54,34
2022-07-09,54,34
2022-07-10,55,35
2022-07-11,55,35
2022-07-12,55,35
2022-07-13,55,35
2022-07-14,55,35
2022-07-15,55,35
2022-07-16,55,35
2022-07-17,64,36
2022-07-18,64,36
2022-07-19,64,36
2022-07-20,64,36
2022-07-21,64,36
2022-07-22,64,36
2022-07-23,64,36
2022-07-24,58,37
2022-07-25,58,37
2022-07-26,58,37
2022-07-27,58,37
2022-07-28,58,37
2022-07-29,58,37
2022-07-30,58,37
2022-07-31,59,34
2022-08-01,59,34
2022-08-02,59,34
2022-08-03,59,34
2022-08-04,59,34
2022-08-05,59,34
2022-08-06,59,34
2022-08-07,58,35
2022-08-08,58,35
2022-08-09,58,35
2022-08-10,58,35
2022-08-11,58,35
2022-08-12,58,35
2022-08-13,58,35
2022-08-14,63,36
2022-08-15,63,36
2022-08-16,63,36
2022-08-17,63,36
2022-08-18,63,36
2022-08-19,63,36
2022-08-20,63,36
2022-08-21,61,40
2022-08-22,61,40
2022-08-23,61,40
2022-08-24,61,40
2022-08-25,61,40
2022-08-26,61,40
2022-08-27,61,40
2022-08-28,55,38
2022-08-29,55,38
2022-08-30,55,38
2022-08-31,55,38
2022-09-01,55,38
2022-09-02,55,38
2022-09-03,55,38
2022-09-04,56,32
2022-09-05,56,32
2022-09-06,56,32
